company,sector,priority,source
DMC,Controls & Automation,B,database
Douglas Machine,Controls & Automation,B,database
Doxel,Robotics,B,database
Dragonfly Energy Robotics,Robotics,B,database
Ducommun,PCB & Embedded,B,database
DuPont Interconnect Solutions,PCB & Embedded,B,database
Dwyer Instruments,Controls & Automation,B,database
Dynamic Air,Controls & Automation,B,database
Dynamic Electronics,PCB & Embedded,B,database
E Tech Group,Controls & Automation,B,database
E Technologies Group,Controls & Automation,B,database
EBV Elektronik,PCB & Embedded,B,database
EchoNous,MedTech,B,database
Edgewater Automation,Controls & Automation,B,database
Edwards Lifesciences,MedTech,B,database
Elecrow,PCB & Embedded,B,database
ElectroCore,MedTech,B,database
Electronic Interconnect,PCB & Embedded,B,database
Elekta,MedTech,B,database
Ellex Medical Lasers,MedTech,B,database
Elucid,MedTech,B,database
Emerson Rosemount,Controls & Automation,B,database
EndoGastric Solutions,MedTech,B,database
Endologix,MedTech,B,database
Enics,PCB & Embedded,B,database
Enovis,MedTech,B,database
Envista Holdings,MedTech,B,database
EOSYS,Controls & Automation,B,database
Epec,PCB & Embedded,B,database
Everspin Technologies,PCB & Embedded,B,database
Exact Sciences,MedTech,B,database
Excel Automation,Controls & Automation,B,database
Exotec,Robotics,B,database
Extreme Networks,PCB & Embedded,B,database
Fisher & Paykel Healthcare,MedTech,B,database
Flex,PCB & Embedded,B,database
Flex Austin,PCB & Embedded,B,database
Fluor,Controls & Automation,B,database
FMC Technologies,Controls & Automation,B,database
Formant,Robotics,B,database
Fortinet,PCB & Embedded,B,database
Foth,Controls & Automation,B,database
Fox Robotics,Robotics,B,database
Foxconn,PCB & Embedded,B,database
Franka Emika,Robotics,B,database
Freedom Robotics,Robotics,B,database
FTG Circuits,PCB & Embedded,B,database
Fujifilm Healthcare,MedTech,B,database
Gatik,Robotics,B,database
GE Digital,Controls & Automation,B,database
GE HealthCare,MedTech,B,database
GE Proficy,Controls & Automation,B,database
George T Hall,Controls & Automation,B,database
Ghafari Associates,Controls & Automation,B,database
Ghost Robotics,Robotics,B,database
Gideon,Robotics,B,database
GlobalFoundries,PCB & Embedded,B,database
GPV,PCB & Embedded,B,database
GRAIL,MedTech,B,database
Gray Solutions,Controls & Automation,B,database
Haemonetics,MedTech,B,database
Hallam-ICS,Controls & Automation,B,database
Hargrove Controls + Automation,Controls & Automation,B,database
Harman,PCB & Embedded,B,database
Haskell,Controls & Automation,B,database
Henkel Electronics,PCB & Embedded,B,database
Hewlett Packard Enterprise,PCB & Embedded,B,database
Hillrom,MedTech,B,database
Hirata,Controls & Automation,B,database
Hixson,Controls & Automation,B,database
Hocoma,MedTech,B,database
Hologic,MedTech,B,database
Honeybee Robotics,Robotics,B,database
Honeywell Aerospace,PCB & Embedded,B,database
Horner Automation,Controls & Automation,B,database
Hyphen,Robotics,B,database
ICONICS,Controls & Automation,B,database
ICR Services,Controls & Automation,B,database
ifm electronic,Controls & Automation,B,database
Illumina,MedTech,B,database
IMI Critical Engineering,Controls & Automation,B,database
Indoor Robotics,Robotics,B,database
InDro Robotics,Robotics,B,database
Inductive Automation,Controls & Automation,B,database
Industrial Automation Engineering,Controls & Automation,B,database
Industrial Control Repair,Controls & Automation,B,database
Industrial Perception,Robotics,B,database
Infineon Technologies,PCB & Embedded,B,database
Innovative Control,Controls & Automation,B,database
Inogen,MedTech,B,database
Insulectro,PCB & Embedded,B,database
Insulet,MedTech,B,database
Integra Neurosciences,MedTech,B,database
Integra Pain,MedTech,B,database
Integra York,MedTech,B,database
Intrinsic,Robotics,B,database
iRhythm Technologies,MedTech,B,database
Iron Ox,Robotics,B,database
Isola Group,PCB & Embedded,B,database
JAKA Robotics,Robotics,B,database
JMP Solutions,Controls & Automation,B,database
John Deere Robotics,Robotics,B,database
Johnson & Johnson MedTech,MedTech,B,database
JR Automation,Robotics,B,database
Juniper Networks,PCB & Embedded,B,database
Kardium,MedTech,B,database
KARL STORZ,MedTech,B,database
Kasa Controls,Controls & Automation,B,database
Kawada Robotics,Robotics,B,database
KBR,Controls & Automation,B,database
Keenon Robotics,Robotics,B,database
Kepware,Controls & Automation,B,database
Kestra Medical Technologies,MedTech,B,database
Key Tronic,PCB & Embedded,B,database
Kimball Electronics,PCB & Embedded,B,database
Kitron,PCB & Embedded,B,database
KLA,PCB & Embedded,B,database
Kline Process Systems,Controls & Automation,B,database
Kodiak Assembly Solutions,PCB & Embedded,B,database
Kodiak Robotics,Robotics,B,database
Koninklijke Philips,MedTech,B,database
Koops Automation Systems,Controls & Automation,B,database
KUKA Robotics,Robotics,B,database
Lacroix Electronics,PCB & Embedded,B,database
Lam Research,PCB & Embedded,B,database
Lantheus,MedTech,B,database
Leica Microsystems,MedTech,B,database
LeMaitre Vascular,MedTech,B,database
LifeScan,MedTech,B,database
Lifeward,MedTech,B,database
Locus,Robotics,B,database
Logical Systems,Controls & Automation,B,database
LS Electric,Controls & Automation,B,database
Lucid Diagnostics,MedTech,B,database
Lumentum,PCB & Embedded,B,database
M.C. Dean,Controls & Automation,B,database
Mack Technologies,PCB & Embedded,B,database
MacroFab,PCB & Embedded,B,database
Magnetrol,Controls & Automation,B,database
Mainstay Medical,MedTech,B,database
Malisko Engineering,Controls & Automation,B,database
Mammotome,MedTech,B,database
Marble Robot,Robotics,B,database
MartinCSI,Controls & Automation,B,database
Master Electronics,PCB & Embedded,B,database
Matrikon,Controls & Automation,B,database
Matternet,Robotics,B,database
Maverick Technologies,Controls & Automation,B,database
MaxLinear,PCB & Embedded,B,database
May Mobility,Robotics,B,database
MC Assembly,PCB & Embedded,B,database
Med-El,MedTech,B,database
Medela,MedTech,B,database
Mellanox,PCB & Embedded,B,database
Mentee Robotics,Robotics,B,database
Mentor Worldwide,MedTech,B,database
Meridian Bioscience,MedTech,B,database
Merit Medical Systems,MedTech,B,database
MetraLabs,Robotics,B,database
Mettler Toledo,Controls & Automation,B,database
Micron Technology,PCB & Embedded,B,database
MicroPort,MedTech,B,database
MicroTransponder,MedTech,B,database
Middough,Controls & Automation,B,database
Millennium Circuits,PCB & Embedded,B,database
Miller Resource Group Automation,Controls & Automation,B,database
MiR,Robotics,B,database
Miso Robotics,Robotics,B,database
Mission Design & Automation,Controls & Automation,B,database
Mitsubishi Factory Automation,Controls & Automation,B,database
Moley Robotics,Robotics,B,database
Monolithic Power Systems,PCB & Embedded,B,database
Moore Industries,Controls & Automation,B,database
Morrison Industrial Equipment,Controls & Automation,B,database
Motion Controls Robotics,Controls & Automation,B,database
Movicon,Controls & Automation,B,database
Naio Technologies,Robotics,B,database
Neuralink,MedTech,B,database
Neuroelectrics,MedTech,B,database
Neurolutions,MedTech,B,database
Neuronetics,MedTech,B,database
NeuroSigma,MedTech,B,database
Nevro,MedTech,B,database
Neways Electronics,PCB & Embedded,B,database
Nexperia,PCB & Embedded,B,database
Neya Systems,Robotics,B,database
Nidec Industrial Solutions,Controls & Automation,B,database
Nokia,PCB & Embedded,B,database
Novaspect,Controls & Automation,B,database
Novocure,MedTech,B,database
Nuro,Robotics,B,database
NuVasive,MedTech,B,database
Nuvectra,MedTech,B,database
NVIDIA,PCB & Embedded,B,database
NVIDIA Robotics,Robotics,B,database
NXP Semiconductors,PCB & Embedded,B,database
Olympus,MedTech,B,database
Omron Industrial Automation,Controls & Automation,B,database
OpenAI Robotics,Robotics,B,database
Ortho Clinical Diagnostics,MedTech,B,database
Orthofix,MedTech,B,database
OTTO Motors,Robotics,B,database
Ottobock,MedTech,B,database
OurPCB,PCB & Embedded,B,database
Panasonic Industry,PCB & Embedded,B,database
Paragon 28,MedTech,B,database
Particle,PCB & Embedded,B,database
Path Robotics,Robotics,B,database
Patti Engineering,Controls & Automation,B,database
PCB Universe,PCB & Embedded,B,database
Penumbra,MedTech,B,database
Permobil,MedTech,B,database
Phantom Auto,Robotics,B,database
Polytron,Controls & Automation,B,database
Precision Neuroscience,MedTech,B,database
PrecisionHawk,Robotics,B,database
Prime Controls,Controls & Automation,B,database
Pro-face,Controls & Automation,B,database
ProAutomated,Controls & Automation,B,database
Process Automation Solutions,Controls & Automation,B,database
Progea,Controls & Automation,B,database
Qorvo,PCB & Embedded,B,database
Qualcomm,PCB & Embedded,B,database
QuidelOrtho,MedTech,B,database
Raspberry Pi,PCB & Embedded,B,database
Realtek Semiconductor,PCB & Embedded,B,database
ReCor Medical,MedTech,B,database
Red Lion Controls,Controls & Automation,B,database
Renesas Electronics,PCB & Embedded,B,database
ResMed,MedTech,B,database
RevMedica,MedTech,B,database
Ribbon Communications,PCB & Embedded,B,database
Richardson Electronics,PCB & Embedded,B,database
Righthand AI,Robotics,B,database
Robex,Controls & Automation,B,database
Robomart,Robotics,B,database
Roboteam,Robotics,B,database
Roche Diagnostics,MedTech,B,database
Rohm Semiconductor,PCB & Embedded,B,database
Rotork,Controls & Automation,B,database
RoviSys Building Technologies,Controls & Automation,B,database
Royal Circuit Solutions,PCB & Embedded,B,database
Royal Circuits,PCB & Embedded,B,database
RS Group,PCB & Embedded,B,database
Rush PCB,PCB & Embedded,B,database
Rutronik,PCB & Embedded,B,database
Sager Electronics,PCB & Embedded,B,database
Saluda Medical,MedTech,B,database
SAMSON Controls,Controls & Automation,B,database
Samsung Electro-Mechanics,PCB & Embedded,B,database
Sankyo Automation,Controls & Automation,B,database
Sanmina Huntsville,PCB & Embedded,B,database
Schneider Citect,Controls & Automation,B,database
Schneider Modicon,Controls & Automation,B,database
Scott Technology,Controls & Automation,B,database
Seeed Studio,PCB & Embedded,B,database
Seegrid,Robotics,B,database
Seismic,Robotics,B,database
Semtech,PCB & Embedded,B,database
Senseonics,MedTech,B,database
Serra,Controls & Automation,B,database
Serve Robotics,Robotics,B,database
SetPoint Medical,MedTech,B,database
SharkNinja Robotics,Robotics,B,database
Siemens Digital Industries,Controls & Automation,B,database
Siemens WinCC,Controls & Automation,B,database
SigmaTron International,PCB & Embedded,B,database
SIIX,PCB & Embedded,B,database
Silicon Labs,PCB & Embedded,B,database
Simbe Robotics,Robotics,B,database
Skydio,Robotics,B,database
Skyworks Solutions,PCB & Embedded,B,database
Slip Robotics,Robotics,B,database
SMTC,PCB & Embedded,B,database
Sonic Manufacturing Technologies,PCB & Embedded,B,database
Sonova,MedTech,B,database
Sorin Group,MedTech,B,database
Spacelabs Healthcare,MedTech,B,database
SparkFun Electronics,PCB & Embedded,B,database
Spectranetics,MedTech,B,database
Spirax Sarco,Controls & Automation,B,database
SPR Therapeutics,MedTech,B,database
Standard Bots,Robotics,B,database
STERIS,MedTech,B,database
STMicroelectronics,PCB & Embedded,B,database
Stone Technologies,Controls & Automation,B,database
Summit Electronics,PCB & Embedded,B,database
Sunstone,PCB & Embedded,B,database
Sunstone Circuits,PCB & Embedded,B,database
Superior Controls,Controls & Automation,B,database
SVT Robotics,Robotics,B,database
Swagelok,Controls & Automation,B,database
Synchron,MedTech,B,database
Synopsys,PCB & Embedded,B,database
Tata Technologies Automation,Controls & Automation,B,database
Technotronix,PCB & Embedded,B,database
Tempus AI,MedTech,B,database
Teradyne,PCB & Embedded,B,database
Tetra Pak Automation,Controls & Automation,B,database
Texas Instruments,PCB & Embedded,B,database
Thermo Fisher Process Instruments,Controls & Automation,B,database
Thermo Fisher Scientific,MedTech,B,database
Thermo Systems,Controls & Automation,B,database
Torc Robotics,Robotics,B,database
Total Systems Design,Controls & Automation,B,database
Toyota Connected Robotics,Robotics,B,database
Toyota Research Institute,Robotics,B,database
TransMedics,MedTech,B,database
Transphorm,PCB & Embedded,B,database
Treace Medical Concepts,MedTech,B,database
Trice Medical,MedTech,B,database
TriCore,Controls & Automation,B,database
TT Electronics,PCB & Embedded,B,database
TTI Inc,PCB & Embedded,B,database
TTM Chippewa Falls,PCB & Embedded,B,database
TTM Logan,PCB & Embedded,B,database
Tyromotion,MedTech,B,database
Ubiquiti,PCB & Embedded,B,database
UBTECH,Robotics,B,database
Unitronics,Controls & Automation,B,database
Vanderlande,Controls & Automation,B,database
Varian,MedTech,B,database
Variscite,PCB & Embedded,B,database
Veeco,PCB & Embedded,B,database
Vertech,Controls & Automation,B,database
Vexos,PCB & Embedded,B,database
Vicarious,Robotics,B,database
Vicarious Surgical,MedTech,B,database
Viking Masek,Controls & Automation,B,database
Vyaire Medical,MedTech,B,database
WAGO,Controls & Automation,B,database
Weidmuller,Controls & Automation,B,database
West Pharmaceutical Services,MedTech,B,database
Wipotec,Controls & Automation,B,database
Wittenstein,Controls & Automation,B,database
Wood,Controls & Automation,B,database
Wood Automation and Controls,Controls & Automation,B,database
Worley,Controls & Automation,B,database
WPG Holdings,PCB & Embedded,B,database
Wright Medical,MedTech,B,database
Xtant Medical,MedTech,B,database
XYZ Robotics,Robotics,B,database
Zentech Manufacturing,PCB & Embedded,B,database
ZimVie,MedTech,B,database
ZOLL Medical,MedTech,B,database
Össur,MedTech,B,database
Adafruit Industries,PCB & Embedded,C,database
AdvancedPCB,PCB & Embedded,C,database
AMD,PCB & Embedded,C,database
American Standard Circuits,PCB & Embedded,C,database
Arm,PCB & Embedded,C,database
AspenTech,Controls & Automation,C,database
B&R USA,Controls & Automation,C,database
Badger Meter,Controls & Automation,C,database
Banks Integration,Controls & Automation,C,database
Bay Area Circuits,PCB & Embedded,C,database
Cadence Design Systems,PCB & Embedded,C,database
CEVA,PCB & Embedded,C,database
CIMON,Controls & Automation,C,database
Cisco,PCB & Embedded,C,database
CommScope,PCB & Embedded,C,database
East West Manufacturing,PCB & Embedded,C,database
EPIC Technologies,PCB & Embedded,C,database
F5,PCB & Embedded,C,database
Flowserve,Controls & Automation,C,database
Garmin,PCB & Embedded,C,database
Gems Sensors,Controls & Automation,C,database
Intel,PCB & Embedded,C,database
Invio Automation,Controls & Automation,C,database
Jabil St Petersburg,PCB & Embedded,C,database
JLCPCB,PCB & Embedded,C,database
Keysight Technologies,PCB & Embedded,C,database
Lakeside Process Controls,Controls & Automation,C,database
Lincoln Electric Automation,Controls & Automation,C,database
Littelfuse,PCB & Embedded,C,database
MacDermid Alpha Electronics Solutions,PCB & Embedded,C,database
Macnica,PCB & Embedded,C,database
MACOM,PCB & Embedded,C,database
Mangan,Controls & Automation,C,database
Maple Systems,Controls & Automation,C,database
MCL,PCB & Embedded,C,database
MediaTek,PCB & Embedded,C,database
Mer-Mar Electronics,PCB & Embedded,C,database
Murata,PCB & Embedded,C,database
NetApp,PCB & Embedded,C,database
Newark Electronics,PCB & Embedded,C,database
NexLogic,PCB & Embedded,C,database
Nordic Semiconductor,PCB & Embedded,C,database
NOTE,PCB & Embedded,C,database
NOVA Automation,Controls & Automation,C,database
Nuvoton,PCB & Embedded,C,database
Opto 22,Controls & Automation,C,database
Osh Park,PCB & Embedded,C,database
PCBCart,PCB & Embedded,C,database
PCBWay,PCB & Embedded,C,database
ProMinent,Controls & Automation,C,database
Revere Control Systems,Controls & Automation,C,database
Rockwell FactoryTalk,Controls & Automation,C,database
Rockwell Plex,Controls & Automation,C,database
Rogers Corporation,PCB & Embedded,C,database
Ruckus Networks,PCB & Embedded,C,database
San Francisco Circuits,PCB & Embedded,C,database
Saturn Electronics,PCB & Embedded,C,database
Scanfil,PCB & Embedded,C,database
SFCircuits,PCB & Embedded,C,database
Stober Drives,Controls & Automation,C,database
Synaptics,PCB & Embedded,C,database
Systems Control,Controls & Automation,C,database
Systems Interface,Controls & Automation,C,database
Taurus Industrial Group,Controls & Automation,C,database
Tempo Automation,PCB & Embedded,C,database
Toradex,PCB & Embedded,C,database
Tower Semiconductor,PCB & Embedded,C,database
United Microelectronics,PCB & Embedded,C,database
Ventec International,PCB & Embedded,C,database
Viavi Solutions,PCB & Embedded,C,database
Vishay,PCB & Embedded,C,database
Wauseon Machine,Controls & Automation,C,database
Wolfspeed,PCB & Embedded,C,database
Zebra Technologies,PCB & Embedded,C,database
